N/A,Sample1,IR88888-UBN3-4,0,"IR^88888-UBN3-4	;space expected between IR and plant number#IR88888^-UBN3-4	;string pattern not recognized. #IR88888-UBN^3-4	;space expected between location code and plant number#IR88888-UBN3^-4	;string pattern not recognized. #",N/A,Sample3,1,in standardized format,"Sample3
Sample1"
N/A,MTU 1010/IR 03A550,MTU 1010,932,in standardized format,"MTU 1010",IR 04A213,933,"IR ^04A213	;unexpected space is found#IR 04A213	;string pattern not recognized #",N/A
N/A,MTU 1010/IR 03A568,MTU 1010,934,in standardized format,"MTU 1010",IR 03A550,935,"IR ^03A550	;unexpected space is found#IR 03A550	;string pattern not recognized #",N/A
N/A,MTU 1010/IR 04A285,MTU 1010,936,in standardized format,"MTU 1010",IR 03A568,937,"IR ^03A568	;unexpected space is found#IR 03A568	;string pattern not recognized #",N/A
N/A,IRRI 123/IRRI 154,MTU 1010,938,in standardized format,"MTU 1010",IR 04A285,939,"IR ^04A285	;unexpected space is found#IR 04A285	;string pattern not recognized #",N/A
N/A,IRRI 123/IR 04A427,IRRI 123,940,in standardized format,"IRRI 123",IRRI 154,941,in standardized format,"IRRI 154
IRRI 123/IR 04A427"
N/A,IRRI 123/IR 05A117,IRRI 123,942,in standardized format,"IRRI 123",IR 04A427,943,"IR ^04A427	;unexpected space is found#IR 04A427	;string pattern not recognized #",N/A
N/A,IRRI 123/IR 05A125,IRRI 123,944,in standardized format,"IRRI 123",IR 05A117,945,"IR ^05A117	;unexpected space is found#IR 05A117	;string pattern not recognized #",N/A
N/A,DULAR/IR 05N128,IRRI 123,946,in standardized format,"IRRI 123",IR 05A125,947,"IR ^05A125	;unexpected space is found#IR 05A125	;string pattern not recognized #",N/A
N/A,DULAR/IR 05N160,DULAR,948,in standardized format,"DULAR",IR 05N128,949,"IR ^05N128	;unexpected space is found#IR 05N128	;string pattern not recognized #",N/A
N/A,DULAR/IR 05N170,DULAR,950,in standardized format,"DULAR",IR 05N160,951,"IR ^05N160	;unexpected space is found#IR 05N160	;string pattern not recognized #",N/A
N/A,DULAR/IR 05N173,DULAR,952,in standardized format,"DULAR",IR 05N170,953,"IR ^05N170	;unexpected space is found#IR 05N170	;string pattern not recognized #",N/A
N/A,NERICA 5/IR 05N181,DULAR,954,in standardized format,"DULAR",IR 05N173,955,"IR ^05N173	;unexpected space is found#IR 05N173	;string pattern not recognized #",N/A
N/A,NERICA 5/IR 05N204,NERICA 5,956,in standardized format,"NERICA 5",IR 05N181,957,"IR ^05N181	;unexpected space is found#IR 05N181	;string pattern not recognized #",N/A
N/A,NERICA 5/IR 06M138,NERICA 5,958,in standardized format,"NERICA 5",IR 05N204,959,"IR ^05N204	;unexpected space is found#IR 05N204	;string pattern not recognized #",N/A
N/A,NERICA 5/IR 06M139,NERICA 5,960,in standardized format,"NERICA 5",IR 06M138,961,"IR ^06M138	;unexpected space is found#IR 06M138	;string pattern not recognized #",N/A
N/A,NERICA-L-31/IR 06M146,NERICA 5,962,in standardized format,"NERICA 5",IR 06M139,963,"IR ^06M139	;unexpected space is found#IR 06M139	;string pattern not recognized #",N/A
N/A,NERICA-L-31/IR 06N156,NERICA-L-31,964,in standardized format,"NERICA#NERICA-L#NERICA-L-31",IR 06M146,965,"IR ^06M146	;unexpected space is found#IR 06M146	;string pattern not recognized #",N/A
N/A,NERICA-L-31/JORYEONGBYEO,NERICA-L-31,966,in standardized format,"NERICA#NERICA-L#NERICA-L-31",IR 06N156,967,"IR ^06N156	;unexpected space is found#IR 06N156	;string pattern not recognized #",N/A
N/A,NERICA-L-31/IR 49830-7-1-2-3,NERICA-L-31,968,in standardized format,"NERICA#NERICA-L#NERICA-L-31",JORYEONGBYEO,969,in standardized format,"JORYEONGBYEO
NERICA-L-31/IR 49830-7-1-2-3"
N/A,NERICA 8/IR 70181-32-PMI 1-1-5-1,NERICA-L-31,970,in standardized format,"NERICA#NERICA-L#NERICA-L-31",IR 49830-7-1-2-3,971,in standardized format,"IR 49830#IR 49830-7#IR 49830-7-1#IR 49830-7-1-2#IR 49830-7-1-2-3
NERICA 8/IR 70181-32-PMI 1-1-5-1"
N/A,NERICA 8/IR 05F102,NERICA 8,972,in standardized format,"NERICA 8",IR 70181-32-PMI 1-1-5-1,973,in standardized format,"IR 70181#IR 70181-32#IR 70181-32-PMI 1#IR 70181-32-PMI 1-1#IR 70181-32-PMI 1-1-5#IR 70181-32-PMI 1-1-5-1
NERICA 8/IR 05F102"
N/A,NERICA 8/IR 09F120,NERICA 8,974,in standardized format,"NERICA 8",IR 05F102,975,"IR ^05F102	;unexpected space is found#IR 05F102	;string pattern not recognized #",N/A
N/A,NERICA 8/IR 09F128,NERICA 8,976,in standardized format,"NERICA 8",IR 09F120,977,"IR ^09F120	;unexpected space is found#IR 09F120	;string pattern not recognized #",N/A
N/A,NERICA 14/IRRI 149,NERICA 8,978,in standardized format,"NERICA 8",IR 09F128,979,"IR ^09F128	;unexpected space is found#IR 09F128	;string pattern not recognized #",N/A
N/A,NERICA 14/IR 07F287,NERICA 14,980,in standardized format,"NERICA 14",IRRI 149,981,in standardized format,"IRRI 149
NERICA 14/IR 07F287"
N/A,NERICA 14/IR 09F146,NERICA 14,982,in standardized format,"NERICA 14",IR 07F287,983,"IR ^07F287	;unexpected space is found#IR 07F287	;string pattern not recognized #",N/A
N/A,NERICA 14/IR 09F154,NERICA 14,984,in standardized format,"NERICA 14",IR 09F146,985,"IR ^09F146	;unexpected space is found#IR 09F146	;string pattern not recognized #",N/A
N/A,NERICA 7/IR 09F230,NERICA 14,986,in standardized format,"NERICA 14",IR 09F154,987,"IR ^09F154	;unexpected space is found#IR 09F154	;string pattern not recognized #",N/A
N/A,NERICA 7/IR 09F226,NERICA 7,988,in standardized format,"NERICA 7",IR 09F230,989,"IR ^09F230	;unexpected space is found#IR 09F230	;string pattern not recognized #",N/A
N/A,NERICA 7/IR 09F237,NERICA 7,990,in standardized format,"NERICA 7",IR 09F226,991,"IR ^09F226	;unexpected space is found#IR 09F226	;string pattern not recognized #",N/A
N/A,NERICA 7/IR 09F238,NERICA 7,992,in standardized format,"NERICA 7",IR 09F237,993,"IR ^09F237	;unexpected space is found#IR 09F237	;string pattern not recognized #",N/A
N/A,IR09L204/IR 07F290,NERICA 7,994,in standardized format,"NERICA 7",IR 09F238,995,"IR ^09F238	;unexpected space is found#IR 09F238	;string pattern not recognized #",N/A
N/A,IR09L204/IR 07F291,IR09L204,996,in standardized format,"IR09L204",IR 07F290,997,"IR ^07F290	;unexpected space is found#IR 07F290	;string pattern not recognized #",N/A
N/A,IR09L204/IR 07F289,IR09L204,998,in standardized format,"IR09L204",IR 07F291,999,"IR ^07F291	;unexpected space is found#IR 07F291	;string pattern not recognized #",N/A
N/A,IR09L204/IR 09F260,IR09L204,1000,in standardized format,"IR09L204",IR 07F289,1001,"IR ^07F289	;unexpected space is found#IR 07F289	;string pattern not recognized #",N/A
N/A,IR09L120/IR 09F209,IR09L204,1002,in standardized format,"IR09L204",IR 09F260,1003,"IR ^09F260	;unexpected space is found#IR 09F260	;string pattern not recognized #",N/A
N/A,IR09L120/IR 09F218,IR09L120,1004,in standardized format,"IR09L120",IR 09F209,1005,"IR ^09F209	;unexpected space is found#IR 09F209	;string pattern not recognized #",N/A
N/A,IR09L120/IR 09F291,IR09L120,1006,in standardized format,"IR09L120",IR 09F218,1007,"IR ^09F218	;unexpected space is found#IR 09F218	;string pattern not recognized #",N/A
N/A,IR09L120/IR 67495-NDR 2-1-1-1-1,IR09L120,1008,in standardized format,"IR09L120",IR 09F291,1009,"IR ^09F291	;unexpected space is found#IR 09F291	;string pattern not recognized #",N/A
N/A,IR09L337/ANJALI,IR09L120,1010,in standardized format,"IR09L120",IR 67495-NDR 2-1-1-1-1,1011,"IR 67495-NDR 2^-1-1-1-1	;string pattern not recognized. #",N/A
N/A,IR09L337/BR 11,IR09L337,1012,in standardized format,"IR09L337",ANJALI,1013,in standardized format,"ANJALI
IR09L337/BR 11"
N/A,IR09L337/IR 07F290,IR09L337,1014,in standardized format,"IR09L337",BR 11,1015,in standardized format,"BR 11
IR09L337/IR 07F290"
N/A,IR09L337/CT 9993-5-10-1-M,IR09L337,1016,in standardized format,"IR09L337",IR 07F290,1017,"IR ^07F290	;unexpected space is found#IR 07F290	;string pattern not recognized #",N/A
N/A,IR08L181/IR 71700-247-1-1-2,IR08L181,1018,in standardized format,"IR08L181",IRRI 149,1019,in standardized format,"IRRI 149
IR08L181/IR 71700-247-1-1-2"
N/A,IR08L181/IR 03L142,IR08L181,1020,in standardized format,"IR08L181",IR 71700-247-1-1-2,1021,in standardized format,"IR 71700#IR 71700-247#IR 71700-247-1#IR 71700-247-1-1#IR 71700-247-1-1-2
IR08L181/IR 03L142"
N/A,IR08L181/IRRI 148,IR08L181,1022,in standardized format,"IR08L181",IR 03L142,1023,"IR ^03L142	;unexpected space is found#IR 03L142	;string pattern not recognized #",N/A
N/A,IR09L342/IR 01A163,IR08L181,1024,in standardized format,"IR08L181",IRRI 148,1025,in standardized format,"IRRI 148
IR09L342/IR 01A163"
N/A,IR09L342/IR 77298-14-1-2-10,IR09L342,1026,in standardized format,"IR09L342",IR 01A163,1027,"IR ^01A163	;unexpected space is found#IR 01A163	;string pattern not recognized #",N/A
N/A,IR09L342/IR 77298-5-6-18,IR09L342,1028,in standardized format,"IR09L342",IR 77298-14-1-2-10,1029,in standardized format,"IR 77298#IR 77298-14#IR 77298-14-1#IR 77298-14-1-2#IR 77298-14-1-2-10
IR09L342/IR 77298-5-6-18"
N/A,IR09L342/IR 78875-176-B-2,IR09L342,1030,in standardized format,"IR09L342",IR 77298-5-6-18,1031,in standardized format,"IR 77298#IR 77298-5#IR 77298-5-6#IR 77298-5-6-18
IR09L342/IR 78875-176-B-2"
N/A,IR09L336/IR 78875-190-B-1-3,IR09L342,1032,in standardized format,"IR09L342",IR 78875-176-B-2,1033,in standardized format,"IR 78875#IR 78875-176#IR 78875-176-B#IR 78875-176-B-2
IR09L336/IR 78875-190-B-1-3"
N/A,IR09L336/IR 78908-143-B-4,IR09L336,1034,in standardized format,"IR09L336",IR 78875-190-B-1-3,1035,in standardized format,"IR 78875#IR 78875-190#IR 78875-190-B#IR 78875-190-B-1#IR 78875-190-B-1-3
IR09L336/IR 78908-143-B-4"
N/A,IR09L336/IR 78985-B-6-B-B-B,IR09L336,1036,in standardized format,"IR09L336",IR 78908-143-B-4,1037,in standardized format,"IR 78908#IR 78908-143#IR 78908-143-B#IR 78908-143-B-4
IR09L336/IR 78985-B-6-B-B-B"
N/A,IR09L336/IR 79913-B-176-B-4,IR09L336,1038,in standardized format,"IR09L336",IR 78985-B-6-B-B-B,1039,in standardized format,"IR 78985#IR 78985-B#IR 78985-B-6#IR 78985-B-6-B#IR 78985-B-6-B-B#IR 78985-B-6-B-B-B
IR09L336/IR 79913-B-176-B-4"
N/A,IR09L303/IR 79971-B-369,IR09L336,1040,in standardized format,"IR09L336",IR 79913-B-176-B-4,1041,in standardized format,"IR 79913#IR 79913-B#IR 79913-B-176#IR 79913-B-176-B#IR 79913-B-176-B-4
IR09L303/IR 79971-B-369"
N/A,IR09L303/IR 79971-B-381,IR09L303,1042,in standardized format,"IR09L303",IR 79971-B-369,1043,in standardized format,"IR 79971#IR 79971-B#IR 79971-B-369
IR09L303/IR 79971-B-381"
N/A,IR09L303/IR 81039-B-173-U 3-3,IR09L303,1044,in standardized format,"IR09L303",IR 79971-B-381,1045,in standardized format,"IR 79971#IR 79971-B#IR 79971-B-381
IR09L303/IR 81039-B-173-U 3-3"
N/A,IR09L303/IR 81063-B-94-U 3-1,IR09L303,1046,in standardized format,"IR09L303",IR 81039-B-173-U 3-3,1047,"IR 81039-B-173-U 3^-3	;string pattern not recognized. #",N/A
N/A,IR 07L270/IR 86918-B-92,IR09L303,1048,in standardized format,"IR09L303",IR 81063-B-94-U 3-1,1049,"IR 81063-B-94-U 3^-1	;string pattern not recognized. #",N/A
N/A,IR 07L276/IR 86929-B-128,IR 07L270,1050,"IR ^07L270	;unexpected space is found#IR 07L270	;string pattern not recognized #",N/A,IR 86918-B-92,1051,in standardized format,"IR 86918#IR 86918-B#IR 86918-B-92
IR 07L276/IR 86929-B-128"
N/A,IR 07L276/IR 86929-B-159,IR 07L276,1052,"IR ^07L276	;unexpected space is found#IR 07L276	;string pattern not recognized #",N/A,IR 86929-B-128,1053,in standardized format,"IR 86929#IR 86929-B#IR 86929-B-128
IR 07L276/IR 86929-B-159"
N/A,IR 07L276/IR 86929-B-45,IR 07L276,1054,"IR ^07L276	;unexpected space is found#IR 07L276	;string pattern not recognized #",N/A,IR 86929-B-159,1055,in standardized format,"IR 86929#IR 86929-B#IR 86929-B-159
IR 07L276/IR 86929-B-45"
N/A,IR 07L276/IR 86929-B-464,IR 07L276,1056,"IR ^07L276	;unexpected space is found#IR 07L276	;string pattern not recognized #",N/A,IR 86929-B-45,1057,in standardized format,"IR 86929#IR 86929-B#IR 86929-B-45
IR 07L276/IR 86929-B-464"
N/A,IR 08L126/IR 86929-B-482,IR 07L276,1058,"IR ^07L276	;unexpected space is found#IR 07L276	;string pattern not recognized #",N/A,IR 86929-B-464,1059,in standardized format,"IR 86929#IR 86929-B#IR 86929-B-464
IR 08L126/IR 86929-B-482"
N/A,IR 08L126/IR 86931-B-13,IR 08L126,1060,"IR ^08L126	;unexpected space is found#IR 08L126	;string pattern not recognized #",N/A,IR 86929-B-482,1061,in standardized format,"IR 86929#IR 86929-B#IR 86929-B-482
IR 08L126/IR 86931-B-13"
N/A,IR 08L126/IR 86931-B-294,IR 08L126,1062,"IR ^08L126	;unexpected space is found#IR 08L126	;string pattern not recognized #",N/A,IR 86931-B-13,1063,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-13
IR 08L126/IR 86931-B-294"
N/A,IR 08L126/IR 86931-B-301,IR 08L126,1064,"IR ^08L126	;unexpected space is found#IR 08L126	;string pattern not recognized #",N/A,IR 86931-B-294,1065,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-294
IR 08L126/IR 86931-B-301"
N/A,IR 07L270/IR 86931-B-346,IR 08L126,1066,"IR ^08L126	;unexpected space is found#IR 08L126	;string pattern not recognized #",N/A,IR 86931-B-301,1067,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-301
IR 07L270/IR 86931-B-346"
N/A,IR 07L270/IR 86931-B-373,IR 07L270,1068,"IR ^07L270	;unexpected space is found#IR 07L270	;string pattern not recognized #",N/A,IR 86931-B-346,1069,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-346
IR 07L270/IR 86931-B-373"
N/A,IR 07L270/IR 86931-B-400,IR 07L270,1070,"IR ^07L270	;unexpected space is found#IR 07L270	;string pattern not recognized #",N/A,IR 86931-B-373,1071,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-373
IR 07L270/IR 86931-B-400"
N/A,IR 83827-85-2-2/IR 86931-B-414,IR 07L270,1072,"IR ^07L270	;unexpected space is found#IR 07L270	;string pattern not recognized #",N/A,IR 86931-B-400,1073,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-400
IR 83827-85-2-2/IR 86931-B-414"
N/A,IR 83827-85-2-2/IR 86931-B-519,IR 83827-85-2-2,1074,in standardized format,"IR 83827#IR 83827-85#IR 83827-85-2#IR 83827-85-2-2",IR 86931-B-414,1075,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-414
IR 83827-85-2-2/IR 86931-B-519"
N/A,IR 83827-85-2-2/IR 86931-B-521,IR 83827-85-2-2,1076,in standardized format,"IR 83827#IR 83827-85#IR 83827-85-2#IR 83827-85-2-2",IR 86931-B-519,1077,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-519
IR 83827-85-2-2/IR 86931-B-521"
N/A,IR 83827-85-2-2/IR 86931-B-552,IR 83827-85-2-2,1078,in standardized format,"IR 83827#IR 83827-85#IR 83827-85-2#IR 83827-85-2-2",IR 86931-B-521,1079,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-521
IR 83827-85-2-2/IR 86931-B-552"
N/A,IR 09A131/IR 88286-111-1,IR 83827-85-2-2,1080,in standardized format,"IR 83827#IR 83827-85#IR 83827-85-2#IR 83827-85-2-2",IR 86931-B-552,1081,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-552
IR 09A131/IR 88286-111-1"
N/A,IR 09A131/IR 88286-146-1,IR 09A131,1082,"IR ^09A131	;unexpected space is found#IR 09A131	;string pattern not recognized #",N/A,IR 88286-111-1,1083,in standardized format,"IR 88286#IR 88286-111#IR 88286-111-1
IR 09A131/IR 88286-146-1"
N/A,IR 09A131/IR 88286-171-1,IR 09A131,1084,"IR ^09A131	;unexpected space is found#IR 09A131	;string pattern not recognized #",N/A,IR 88286-146-1,1085,in standardized format,"IR 88286#IR 88286-146#IR 88286-146-1
IR 09A131/IR 88286-171-1"
N/A,IR 09A131/IR 88286-398-1,IR 09A131,1086,"IR ^09A131	;unexpected space is found#IR 09A131	;string pattern not recognized #",N/A,IR 88286-171-1,1087,in standardized format,"IR 88286#IR 88286-171#IR 88286-171-1
IR 09A131/IR 88286-398-1"
N/A,IR 09A130/IR 88286-416-1,IR 09A131,1088,"IR ^09A131	;unexpected space is found#IR 09A131	;string pattern not recognized #",N/A,IR 88286-398-1,1089,in standardized format,"IR 88286#IR 88286-398#IR 88286-398-1
IR 09A130/IR 88286-416-1"
N/A,IR 09A130/IR 88286-465-1,IR 09A130,1090,"IR ^09A130	;unexpected space is found#IR 09A130	;string pattern not recognized #",N/A,IR 88286-416-1,1091,in standardized format,"IR 88286#IR 88286-416#IR 88286-416-1
IR 09A130/IR 88286-465-1"
N/A,IR 09A130/IR 88287-131-1,IR 09A130,1092,"IR ^09A130	;unexpected space is found#IR 09A130	;string pattern not recognized #",N/A,IR 88286-465-1,1093,in standardized format,"IR 88286#IR 88286-465#IR 88286-465-1
IR 09A130/IR 88287-131-1"
N/A,IR 09A130/IR 88287-180-1,IR 09A130,1094,"IR ^09A130	;unexpected space is found#IR 09A130	;string pattern not recognized #",N/A,IR 88287-131-1,1095,in standardized format,"IR 88287#IR 88287-131#IR 88287-131-1
IR 09A130/IR 88287-180-1"
N/A,IR 09A138/IR 88287-19-1,IR 09A130,1096,"IR ^09A130	;unexpected space is found#IR 09A130	;string pattern not recognized #",N/A,IR 88287-180-1,1097,in standardized format,"IR 88287#IR 88287-180#IR 88287-180-1
IR 09A138/IR 88287-19-1"
N/A,IR 09A138/IR 86918-B-92,IR 09A138,1098,"IR ^09A138	;unexpected space is found#IR 09A138	;string pattern not recognized #",N/A,IR 88287-19-1,1099,in standardized format,"IR 88287#IR 88287-19#IR 88287-19-1
IR 09A138/IR 86918-B-92"
N/A,IR 09A138/IR 86929-B-128,IR 09A138,1100,"IR ^09A138	;unexpected space is found#IR 09A138	;string pattern not recognized #",N/A,IR 86918-B-92,1101,in standardized format,"IR 86918#IR 86918-B#IR 86918-B-92
IR 09A138/IR 86929-B-128"
N/A,IR 09A138/IR 86929-B-159,IR 09A138,1102,"IR ^09A138	;unexpected space is found#IR 09A138	;string pattern not recognized #",N/A,IR 86929-B-128,1103,in standardized format,"IR 86929#IR 86929-B#IR 86929-B-128
IR 09A138/IR 86929-B-159"
N/A,IR 82786-79-3-3-2-3/IR 86929-B-45,IR 09A138,1104,"IR ^09A138	;unexpected space is found#IR 09A138	;string pattern not recognized #",N/A,IR 86929-B-159,1105,in standardized format,"IR 86929#IR 86929-B#IR 86929-B-159
IR 82786-79-3-3-2-3/IR 86929-B-45"
N/A,IR 82786-79-3-3-2-3/IR 86929-B-464,IR 82786-79-3-3-2-3,1106,in standardized format,"IR 82786#IR 82786-79#IR 82786-79-3#IR 82786-79-3-3#IR 82786-79-3-3-2#IR 82786-79-3-3-2-3",IR 86929-B-45,1107,in standardized format,"IR 86929#IR 86929-B#IR 86929-B-45
IR 82786-79-3-3-2-3/IR 86929-B-464"
N/A,IR 82786-79-3-3-2-3/IR 86929-B-482,IR 82786-79-3-3-2-3,1108,in standardized format,"IR 82786#IR 82786-79#IR 82786-79-3#IR 82786-79-3-3#IR 82786-79-3-3-2#IR 82786-79-3-3-2-3",IR 86929-B-464,1109,in standardized format,"IR 86929#IR 86929-B#IR 86929-B-464
IR 82786-79-3-3-2-3/IR 86929-B-482"
N/A,IR 82786-79-3-3-2-3/IR 86931-B-13,IR 82786-79-3-3-2-3,1110,in standardized format,"IR 82786#IR 82786-79#IR 82786-79-3#IR 82786-79-3-3#IR 82786-79-3-3-2#IR 82786-79-3-3-2-3",IR 86929-B-482,1111,in standardized format,"IR 86929#IR 86929-B#IR 86929-B-482
IR 82786-79-3-3-2-3/IR 86931-B-13"
N/A,IR 82793-39-2-2-2-2/IR 86931-B-294,IR 82786-79-3-3-2-3,1112,in standardized format,"IR 82786#IR 82786-79#IR 82786-79-3#IR 82786-79-3-3#IR 82786-79-3-3-2#IR 82786-79-3-3-2-3",IR 86931-B-13,1113,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-13
IR 82793-39-2-2-2-2/IR 86931-B-294"
N/A,IR 82793-39-2-2-2-2/IR 86931-B-301,IR 82793-39-2-2-2-2,1114,in standardized format,"IR 82793#IR 82793-39#IR 82793-39-2#IR 82793-39-2-2#IR 82793-39-2-2-2#IR 82793-39-2-2-2-2",IR 86931-B-294,1115,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-294
IR 82793-39-2-2-2-2/IR 86931-B-301"
N/A,IR 82793-39-2-2-2-2/IR 86931-B-346,IR 82793-39-2-2-2-2,1116,in standardized format,"IR 82793#IR 82793-39#IR 82793-39-2#IR 82793-39-2-2#IR 82793-39-2-2-2#IR 82793-39-2-2-2-2",IR 86931-B-301,1117,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-301
IR 82793-39-2-2-2-2/IR 86931-B-346"
N/A,IR 82793-39-2-2-2-2/IR 86931-B-373,IR 82793-39-2-2-2-2,1118,in standardized format,"IR 82793#IR 82793-39#IR 82793-39-2#IR 82793-39-2-2#IR 82793-39-2-2-2#IR 82793-39-2-2-2-2",IR 86931-B-346,1119,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-346
IR 82793-39-2-2-2-2/IR 86931-B-373"
N/A,IR 09N496/IR 86931-B-400,IR 82793-39-2-2-2-2,1120,in standardized format,"IR 82793#IR 82793-39#IR 82793-39-2#IR 82793-39-2-2#IR 82793-39-2-2-2#IR 82793-39-2-2-2-2",IR 86931-B-373,1121,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-373
IR 09N496/IR 86931-B-400"
N/A,IR 09N496/IR 86931-B-414,IR 09N496,1122,"IR ^09N496	;unexpected space is found#IR 09N496	;string pattern not recognized #",N/A,IR 86931-B-400,1123,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-400
IR 09N496/IR 86931-B-414"
N/A,IR 09N496/IR 86931-B-519,IR 09N496,1124,"IR ^09N496	;unexpected space is found#IR 09N496	;string pattern not recognized #",N/A,IR 86931-B-414,1125,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-414
IR 09N496/IR 86931-B-519"
N/A,IR 09N496/IR 86931-B-521,IR 09N496,1126,"IR ^09N496	;unexpected space is found#IR 09N496	;string pattern not recognized #",N/A,IR 86931-B-519,1127,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-519
IR 09N496/IR 86931-B-521"
N/A,IR 83306-93-2-3-2/IR 86931-B-552,IR 09N496,1128,"IR ^09N496	;unexpected space is found#IR 09N496	;string pattern not recognized #",N/A,IR 86931-B-521,1129,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-521
IR 83306-93-2-3-2/IR 86931-B-552"
N/A,IR 83306-93-2-3-2/IR 88286-111-1,IR 83306-93-2-3-2,1130,in standardized format,"IR 83306#IR 83306-93#IR 83306-93-2#IR 83306-93-2-3#IR 83306-93-2-3-2",IR 86931-B-552,1131,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-552
IR 83306-93-2-3-2/IR 88286-111-1"
N/A,IR 83306-93-2-3-2/IR 88286-146-1,IR 83306-93-2-3-2,1132,in standardized format,"IR 83306#IR 83306-93#IR 83306-93-2#IR 83306-93-2-3#IR 83306-93-2-3-2",IR 88286-111-1,1133,in standardized format,"IR 88286#IR 88286-111#IR 88286-111-1
IR 83306-93-2-3-2/IR 88286-146-1"
N/A,IR 83306-93-2-3-2/IR 88286-171-1,IR 83306-93-2-3-2,1134,in standardized format,"IR 83306#IR 83306-93#IR 83306-93-2#IR 83306-93-2-3#IR 83306-93-2-3-2",IR 88286-146-1,1135,in standardized format,"IR 88286#IR 88286-146#IR 88286-146-1
IR 83306-93-2-3-2/IR 88286-171-1"
N/A,IR 09N530/IR 88286-398-1,IR 83306-93-2-3-2,1136,in standardized format,"IR 83306#IR 83306-93#IR 83306-93-2#IR 83306-93-2-3#IR 83306-93-2-3-2",IR 88286-171-1,1137,in standardized format,"IR 88286#IR 88286-171#IR 88286-171-1
IR 09N530/IR 88286-398-1"
N/A,IR 09N530/IR 88286-416-1,IR 09N530,1138,"IR ^09N530	;unexpected space is found#IR 09N530	;string pattern not recognized #",N/A,IR 88286-398-1,1139,in standardized format,"IR 88286#IR 88286-398#IR 88286-398-1
IR 09N530/IR 88286-416-1"
N/A,IR 09N530/IR 88286-465-1,IR 09N530,1140,"IR ^09N530	;unexpected space is found#IR 09N530	;string pattern not recognized #",N/A,IR 88286-416-1,1141,in standardized format,"IR 88286#IR 88286-416#IR 88286-416-1
IR 09N530/IR 88286-465-1"
N/A,IR 09N530/IR 88287-131-1,IR 09N530,1142,"IR ^09N530	;unexpected space is found#IR 09N530	;string pattern not recognized #",N/A,IR 88286-465-1,1143,in standardized format,"IR 88286#IR 88286-465#IR 88286-465-1
IR 09N530/IR 88287-131-1"
N/A,IR 83722-105-2-2-1/IR 88287-180-1,IR 09N530,1144,"IR ^09N530	;unexpected space is found#IR 09N530	;string pattern not recognized #",N/A,IR 88287-131-1,1145,in standardized format,"IR 88287#IR 88287-131#IR 88287-131-1
IR 83722-105-2-2-1/IR 88287-180-1"
N/A,IR 83722-105-2-2-1/IR 88287-19-1,IR 83722-105-2-2-1,1146,in standardized format,"IR 83722#IR 83722-105#IR 83722-105-2#IR 83722-105-2-2#IR 83722-105-2-2-1",IR 88287-180-1,1147,in standardized format,"IR 88287#IR 88287-180#IR 88287-180-1
IR 83722-105-2-2-1/IR 88287-19-1"
N/A,IR 83722-105-2-2-1/IR 86918-B-92,IR 83722-105-2-2-1,1148,in standardized format,"IR 83722#IR 83722-105#IR 83722-105-2#IR 83722-105-2-2#IR 83722-105-2-2-1",IR 88287-19-1,1149,in standardized format,"IR 88287#IR 88287-19#IR 88287-19-1
IR 83722-105-2-2-1/IR 86918-B-92"
N/A,IR 83722-105-2-2-1/IR 86929-B-128,IR 83722-105-2-2-1,1150,in standardized format,"IR 83722#IR 83722-105#IR 83722-105-2#IR 83722-105-2-2#IR 83722-105-2-2-1",IR 86918-B-92,1151,in standardized format,"IR 86918#IR 86918-B#IR 86918-B-92
IR 83722-105-2-2-1/IR 86929-B-128"
N/A,IR 81896-B-B-195/IR 86929-B-159,IR 83722-105-2-2-1,1152,in standardized format,"IR 83722#IR 83722-105#IR 83722-105-2#IR 83722-105-2-2#IR 83722-105-2-2-1",IR 86929-B-128,1153,in standardized format,"IR 86929#IR 86929-B#IR 86929-B-128
IR 81896-B-B-195/IR 86929-B-159"
N/A,IR 81896-B-B-195/IR 86929-B-45,IR 81896-B-B-195,1154,in standardized format,"IR 81896#IR 81896-B#IR 81896-B-B#IR 81896-B-B-195",IR 86929-B-159,1155,in standardized format,"IR 86929#IR 86929-B#IR 86929-B-159
IR 81896-B-B-195/IR 86929-B-45"
